,longitude,variable,value
450,-913.471,lnwpred_longq,4.756850913
451,-915.003,lnwpred_longq,4.765292445
452,-916.033,lnwpred_longq,4.754484941
453,-913.748,lnwpred_longq,4.760548632
454,-912.614,lnwpred_longq,4.739340348
455,-914.003,lnwpred_longq,4.763105305
456,-914.34,lnwpred_longq,4.765237974
457,-914.833,lnwpred_longq,4.765801975
458,-913.439,lnwpred_longq,4.756361977
459,-914.633882,lnwpred_longq,4.765939693
460,-914.281,lnwpred_longq,4.76496705
461,-914.381,lnwpred_longq,4.765400634
462,-912.595,lnwpred_longq,4.73884817
463,-913.342,lnwpred_longq,4.754801731
464,-913.4223,lnwpred_longq,4.756101734
465,-913.574,lnwpred_longq,4.758337823
466,-913.574,lnwpred_longq,4.758337823
467,-917.882,lnwpred_longq,4.701833484
468,-914.347,lnwpred_longq,4.765267232
469,-914.019,lnwpred_longq,4.76323864
470,-913.965,lnwpred_longq,4.762775817
471,-916.551,lnwpred_longq,4.744041078
472,-913.983,lnwpred_longq,4.762934139
473,-913.982,lnwpred_longq,4.762925449
474,-914.017,lnwpred_longq,4.763222148
475,-913.418,lnwpred_longq,4.756034161
476,-913.018,lnwpred_longq,4.748738173
477,-913.217,lnwpred_longq,4.75261777
478,-914.515,lnwpred_longq,4.76578578
479,-914.392,lnwpred_longq,4.765440702
480,-914.384,lnwpred_longq,4.765411712
481,-912.887,lnwpred_longq,4.745914243
482,-914.24,lnwpred_longq,4.76475317
483,-915.203,lnwpred_longq,4.764230776
484,-914.494,lnwpred_longq,4.765740244
485,-915.206,lnwpred_longq,4.764211047
486,-913.446,lnwpred_longq,4.756470025
487,-915.092,lnwpred_longq,4.764881708
488,-913.236,lnwpred_longq,4.752962312
489,-914.494,lnwpred_longq,4.765740244
490,-914.602,lnwpred_longq,4.765915742
491,-914.602,lnwpred_longq,4.765915742
492,-912.91,lnwpred_longq,4.746425563
493,-913.355,lnwpred_longq,4.755017657
494,-913.107,lnwpred_longq,4.75053442
495,-914.008,lnwpred_longq,4.763147316
496,-914.173,lnwpred_longq,4.764358463
497,-913.57,lnwpred_longq,4.758282552
498,-913.38,lnwpred_longq,4.755426965
499,-914.017,lnwpred_longq,4.763222148
500,-914.534,lnwpred_longq,4.765822233
501,-914.062,lnwpred_longq,4.763581131
502,-913.616,lnwpred_longq,4.758906095
503,-914.57,lnwpred_longq,4.765878933
504,-913.225,lnwpred_longq,4.75276339
505,-917.029,lnwpred_longq,4.731429933
506,-912.892,lnwpred_longq,4.746025961
507,-915.1419,lnwpred_longq,4.764608126
508,-913.423,lnwpred_longq,4.756112712
509,-915.203,lnwpred_longq,4.764230776
510,-913.939,lnwpred_longq,4.762539984
511,-913.535,lnwpred_longq,4.757790409
512,-915.996,lnwpred_longq,4.755102665
513,-913.566,lnwpred_longq,4.758227082
514,-913.021,lnwpred_longq,4.748800332
515,-913.637,lnwpred_longq,4.759181968
516,-913.493,lnwpred_longq,4.757179636
517,-912.894,lnwpred_longq,4.746070561
518,-913.331,lnwpred_longq,4.754617375
519,-915.103,lnwpred_longq,4.764824072
520,-915.419,lnwpred_longq,4.762522911
521,-913.9218,lnwpred_longq,4.762379331
522,-913.099,lnwpred_longq,4.750377007
523,-913.317,lnwpred_longq,4.754380554
524,-915.541,lnwpred_longq,4.761300714
525,-914.123,lnwpred_longq,4.764027364
526,-915.977,lnwpred_longq,4.755413228
527,-914.54,lnwpred_longq,4.765832807
528,-912.828,lnwpred_longq,4.744572376
529,-912.549,lnwpred_longq,4.737637905
530,-915.559,lnwpred_longq,4.76110465
531,-914.691,lnwpred_longq,4.765950849
532,-914.7866249,lnwpred_longq,4.765878295
533,-918.423,lnwpred_longq,4.678351841
534,-916.839,lnwpred_longq,4.736784525
535,-914.464,lnwpred_longq,4.765665635
536,-913.448,lnwpred_longq,4.756500784
537,-914.559,lnwpred_longq,4.765863326
538,-915.202,lnwpred_longq,4.764237327
539,-915.6059,lnwpred_longq,4.76057478
540,-915.6032,lnwpred_longq,4.760606029
541,-915.6118,lnwpred_longq,4.760506177
542,-918.81,lnwpred_longq,4.659311188
543,-912.969,lnwpred_longq,4.747706991
544,-914.496,lnwpred_longq,4.765744818
545,-912.86915,lnwpred_longq,4.745512859
546,-914.509,lnwpred_longq,4.765773332
547,-914.241,lnwpred_longq,4.764758637
548,-914.546,lnwpred_longq,4.765842932
549,-910.805,lnwpred_longq,4.672253823
550,-913.4670258,lnwpred_longq,4.756790886
551,-912.746,lnwpred_longq,4.742635189
552,-914.867,lnwpred_longq,4.765728951
553,-913.7238813,lnwpred_longq,4.760264765
554,-914.812,lnwpred_longq,4.765839863
